Prime,Second Difference,Second Ratio
9267377,24,2/3
9267407,52,13/28
9267489,-38,-19/63
9267533,146,73/117
9267723,-134,-67/123
9267779,64,4/11
9267899,-30,-1/7
9267989,-72,-2/3
9268007,132,11/14
9268157,144,12/37
9268451,-252,-3/4
9268493,-36,-3/4
9268499,16,4/7
9268521,154,7/9
9268697,-154,-7/9
9268719,10,5/27
9268751,230,115/147
9269013,-238,-119/143
9269037,0,0
9269061,24,1/3
9269109,162,27/43
9269319,-162,-27/43
9269367,38,19/67
9269453,-32,-8/35
9269507,-14,-7/47
9269547,212,53/73
9269799,-210,-5/7
9269841,-4,-1/20
9269879,-20,-5/14
9269897,-2,-1/17
9269913,332,83/91
9270261,-340,-85/89
9270269,64,4/5
9270341,-26,-13/59
9270387,-22,-11/35
9270411,8,1/7
9270443,104,13/21
9270579,64,4/21
9270779,-182,-91/109
9270797,162,9/11
9270977,-110,-11/25
9271047,-50,-5/9
9271067,194,97/117
9271281,-134,-67/147
9271361,22,11/91
9271463,162,27/61
9271727,-200,-25/41
9271791,-58,-29/35
9271797,6,1/3
9271809,-4,-1/5
9271817,146,73/81
9271971,-142,-71/83
9271983,26,13/25
9272021,-10,-5/33
9272049,64,8/15
9272141,56,7/30
9272289,-88,-11/26
9272349,-40,-1/2
9272369,-16,-2/3
9272373,52,13/15
9272429,26,13/69
9272511,-62,-31/51
9272531,226,113/133
9272777,-240,-20/21
9272783,22,11/17
9272811,148,37/51
9272987,8,1/45
9273171,-158,-79/105
9273197,-20,-5/8
9273203,0,0
9273209,54,9/11
9273269,0,0
9273329,-50,-5/7
9273339,92,23/28
9273441,-36,-3/14
9273507,-34,-17/49
9273539,22,11/43
9273593,-8,-2/25
9273639,44,11/34
9273729,-72,-2/3
9273747,78,13/19
9273843,-82,-41/55
9273857,32,8/15
9273903,-2,-1/45
9273947,-4,-1/21
9273987,236,59/79
9274263,-196,-49/89
9274343,-4,-1/39
9274419,-64,-8/11
9274431,54,9/13
9274497,-24,-2/9
9274539,92,23/44
9274673,-106,-53/81
9274701,80,10/17
9274809,-90,-5/7
9274827,102,17/23
9274947,56,7/37
9275123,-142,-71/105
9275157,122,61/95
9275313,-132,-11/15
9275337,92,23/35
9275453,-68,-17/41
9275501,-12,-1/7
9275537,54,3/7
9275627,-6,-1/29
9275711,286,143/227
9276081,-320,-16/21
9276131,38,19/69
9276219,-86,-43/45
9276221,104,26/27
9276327,-74,-37/69
9276359,-28,-7/9
9276363,2,1/5
9276369,18,3/5
9276393,2,1/25
9276419,218,109/135
9276663,-230,-115/129
9276677,-8,-2/5
9276683,0,0
9276689,6,1/3
9276701,94,47/59
9276807,-22,-11/95
9276891,-78,-13/15
9276897,120,10/11
9277023,8,2/65
9277157,-124,-31/36
9277167,182,91/101
9277359,-108,-9/23
9277443,-30,-5/23
9277497,-42,-7/11
9277509,176,22/25
9277697,-68,-17/77
9277817,-50,-5/19
9277887,-34,-17/53
9277923,-28,-7/11
9277931,32,2/3
9277971,92,23/43
9278103,-94,-47/85
9278141,34,17/55
9278213,94,47/119
9278379,-152,-38/45
9278393,26,13/27
9278433,10,1/9
9278483,4,1/26
9278537,18,1/7
9278609,-32,-2/7
9278649,4,1/21
9278693,-38,-19/25
9278699,166,83/89
9278871,-142,-71/101
9278901,18,3/13
9278949,-46,-23/25
9278951,128,32/33
9279081,-80,-4/9
9279131,-4,-1/24
9279177,14,7/53
9279237,186,31/51
9279483,-186,-31/51
9279543,0,0
9279603,-12,-1/9
9279651,218,109/157
9279917,-254,-127/139
9279929,300,25/27
9280241,-96,-2/11
9280457,-212,-53/55
9280461,142,71/75
9280607,-142,-71/75
9280611,4,1/3
9280619,32,2/3
9280659,10,1/9
9280709,4,1/26
9280763,-30,-5/13
9280787,60,5/9
9280871,-36,-3/11
9280919,40,5/17
9281007,-46,-23/65
9281049,-24,-2/5
9281067,36,1/2
9281121,-46,-23/31
9281129,32,2/3
9281169,-28,-7/13
9281181,-10,-5/7
9281183,26,13/15
9281211,34,17/45
9281273,58,29/91
9281393,118,59/179
9281631,-32,-8/111
9281837,-160,-40/63
9281883,20,5/28
9281949,-46,-23/43
9281969,284,71/81
9282273,-154,-77/227
9282423,-10,-1/29
9282563,-134,-67/73
9282569,114,19/21
9282689,4,1/61
9282813,-94,-47/77
9282843,30,1/3
9282903,-24,-1/4
9282939,54,3/7
9283029,-36,-1/4
9283083,-16,-4/23
9283121,34,17/55
9283193,6,1/25
9283271,-42,-7/19
9283307,66,11/23
9283409,-18,-3/31
9283493,-20,-5/37
9283557,-44,-11/21
9283577,140,7/9
9283737,-124,-31/49
9283773,2,1/37
9283811,14,7/45
9283863,22,11/63
9283937,-44,-11/26
9283967,84,7/12
9284081,34,17/131
9284229,-146,-73/75
9284231,140,35/36
9284373,-104,-26/45
9284411,-2,-1/37
9284447,18,1/5
9284501,46,23/77
9284601,-10,-1/19
9284691,-34,-17/73
9284747,-52,-13/15
9284751,32,4/5
9284787,-34,-17/19
9284789,26,13/15
9284817,46,23/51
9284891,-62,-31/43
9284903,124,31/37
9285039,-122,-61/75
9285053,4,1/8
9285071,10,5/23
9285099,16,2/9
9285143,-14,-7/37
9285173,10,1/7
9285213,-16,-1/4
9285237,102,17/25
9285363,-108,-3/4
9285381,74,37/55
9285473,-58,-29/63
9285507,22,11/45
9285563,58,29/85
9285677,-90,-15/23
9285701,24,1/3
9285749,70,35/83
9285867,-68,-17/42
9285917,-46,-23/27
9285921,38,19/23
9285963,62,31/73
9286067,-58,-29/75
9286113,14,7/53
9286173,-36,-3/7
9286197,32,2/5
9286253,-28,-1/3
9286281,20,5/19
9286329,-16,-1/5
9286361,148,37/53
9286541,-78,-13/47
9286643,-72,-6/11
9286673,-2,-1/29
9286701,64,8/15
9286793,-38,-19/73
9286847,-48,-4/5
9286853,174,29/31
9287033,-162,-9/11
9287051,-6,-1/5
9287063,42,7/11
9287117,30,5/23
9287201,126,3/7
9287411,-62,-31/179
9287559,-106,-53/95
9287601,140,5/8
9287783,-136,-34/57
9287829,112,28/51
9287987,-116,-29/50
9288029,-12,-1/6
9288059,18,3/13
9288107,-2,-1/47
9288153,-32,-8/15
9288167,68,17/24
9288249,166,83/165
9288497,-238,-119/129
9288507,10,1/3
9288527,40,1/2
9288587,-38,-19/41
9288609,16,4/15
9288647,-28,-7/12
9288657,34,17/27
9288701,62,31/75
9288807,-94,-47/59
9288819,36,3/5
9288867,-6,-1/15
9288909,36,3/10
9288987,-64,-16/23
9289001,122,61/75
9289137,-104,-13/21
9289169,-22,-11/21
9289179,50,5/7
9289239,-58,-29/31
9289241,14,7/9
9289257,10,5/21
9289283,-8,-2/11
9289301,52,13/22
9289371,80,4/11
9289521,-118,-59/91
9289553,68,17/33
9289653,-4,-1/49
9289749,-84,-7/9
9289761,236,59/65
9290009,-188,-47/77
9290069,-42,-7/13
9290087,36,1/2
9290141,18,1/7
9290213,78,13/37
9290363,-122,-61/89
9290391,20,5/19
9290439,-24,-1/3
9290463,50,25/49
9290537,-52,-13/24
9290559,-20,-5/6
9290561,8,2/3
9290571,-4,-1/4
9290577,128,32/35
9290711,-98,-49/85
9290747,10,5/41
9290793,28,7/30
9290867,26,13/87
9290967,20,1/11
9291087,20,1/13
9291227,-98,-7/13
9291269,0,0
9291311,4,1/22
9291357,-40,-10/13
9291363,8,2/5
9291377,106,53/67
9291497,-116,-29/31
9291501,152,19/20
9291657,-130,-5/7
9291683,280,70/83
9291989,-264,-22/29
9292031,28,1/4
9292101,-14,-1/9
9292157,-52,-13/15
9292161,28,7/9
9292193,-22,-11/21
9292203,-4,-1/4
9292209,14,7/13
9292229,94,47/67
9292343,10,5/119
9292467,-70,-35/89
9292521,-22,-11/43
9292553,58,29/61
9292643,66,11/41
9292799,-126,-21/31
9292829,-20,-1/2
9292839,188,47/52
9293037,-144,-4/7
9293091,-48,-4/5
9293097,0,0
9293103,54,9/11
9293163,-12,-1/9
9293211,-12,-1/7
9293247,-4,-1/17
9293279,-8,-1/7
9293303,4,1/13
9293331,-10,-5/23
9293349,200,50/59
9293567,-196,-49/60
9293589,-14,-7/15
9293597,92,23/27
9293697,-56,-7/18
9293741,8,1/12
9293793,-14,-7/45
9293831,-32,-8/11
9293837,18,3/5
9293861,-18,-3/5
9293867,24,2/3
9293897,186,31/41
9294113,-116,-29/79
9294213,-62,-31/69
9294251,-10,-5/33
9294279,50,25/53
9294357,-28,-7/32
9294407,-28,-7/18
9294429,52,13/24
9294503,-50,-25/49
9294527,-18,-3/5
9294533,22,11/17
9294561,40,5/12
9294629,32,4/21
9294729,88,11/36
9294917,-34,-17/171
9295071,-34,-17/137
9295191,-118,-59/61
9295193,28,7/8
9295223,78,13/23
9295331,208,26/53
9295647,-310,-155/161
9295653,104,26/29
9295763,-104,-26/29
9295769,66,11/13
9295841,-6,-1/23
9295907,16,4/37
9295989,-80,-20/21
9295991,154,77/79
9296147,-96,-4/9
9296207,4,1/31
9296271,-34,-17/47
9296301,0,0
9296331,36,3/8
9296397,30,5/27
9296493,-60,-5/11
9296529,216,3/4
9296781,-234,-13/15
9296799,170,85/103
9296987,-134,-67/121
9297041,18,1/7
9297113,48,1/4
9297233,6,1/41
9297359,-14,-1/17
9297471,-70,-5/11
9297513,38,19/61
9297593,64,2/7
9297737,-98,-49/95
9297783,-16,-4/19
9297813,78,13/23
9297921,-106,-53/55
9297923,16,4/5
9297941,18,1/3
9297977,-6,-1/11
9298007,16,4/19
9298053,-20,-5/18
9298079,38,19/45
9298143,-8,-1/15
9298199,28,1/5
9298283,76,19/61
9298443,-40,-1/7
9298563,-82,-41/79
9298601,38,1/3
9298677,-56,-7/12
9298697,56,7/12
9298773,-20,-5/33
9298829,46,23/79
9298931,-90,-15/19
9298943,186,31/35
9299141,-192,-16/17
9299147,246,41/43
9299399,-228,-19/23
9299423,4,1/13
9299451,10,5/33
9299489,200,50/69
9299727,-212,-53/66
9299753,262,131/157
9300041,-236,-59/85
9300093,284,71/97
9300429,-234,-39/73
9300531,-82,-41/61
9300551,32,4/9
9300603,-28,-7/19
9300627,-12,-1/3
9300639,246,41/45
9300897,-154,-77/181
9301001,-92,-23/29
9301013,24,1/2
9301049,42,7/19
9301127,54,9/35
9301259,-104,-13/20
9301287,-4,-1/13
9301311,6,1/9
9301341,90,3/5
9301461,-18,-3/37
9301563,6,1/35
9301671,-106,-53/55
9301673,28,7/8
9301703,24,2/7
9301757,-38,-19/35
9301773,92,23/31
9301881,-88,-11/16
9301901,172,43/53
9302093,-174,-29/35
9302111,48,4/7
9302177,-54,-9/13
9302189,192,8/9
9302393,-138,-23/45
9302459,-18,-3/19
9302507,-26,-13/35
9302529,100,25/36
9302651,-62,-31/91
9302711,72,3/8
9302843,-114,-19/25
9302861,12,1/4
9302891,-24,-2/3
9302897,84,7/8
9302987,-14,-7/83
9303063,-58,-29/47
9303081,84,7/10
9303183,-54,-9/25
9303231,234,39/55
9303513,-184,-46/95
9303611,-70,-5/9
9303639,160,20/27
9303827,-182,-91/97
9303833,264,22/23
9304103,-204,-17/28
9304169,-56,-14/19
9304179,4,1/6
9304193,16,4/11
9304223,180,3/4
9304433,-114,-19/51
9304529,-62,-31/65
9304563,-28,-7/10
9304569,36,3/4
9304611,-10,-5/37
9304643,-16,-1/3
9304659,2,1/17
9304677,134,67/85
9304829,-62,-31/121
9304919,-18,-1/9
9304991,-44,-11/25
9305019,190,95/123
9305237,-38,-19/199
9305417,-168,-7/8
9305429,46,23/35
9305487,4,1/30
9305549,-10,-5/57
9305601,-26,-1/3
9305627,28,7/20
9305681,-18,-1/5
9305717,28,7/25
9305781,-28,-7/25
9305817,96,4/7
9305949,8,1/34
9306089,-46,-23/117
9306183,-56,-14/33
9306221,70,35/73
9306329,124,31/85
9306561,-214,-107/125
9306579,86,43/61
9306683,-68,-17/35
9306719,508,127/145
9307263,-464,-29/39
9307343,58,29/109
9307481,-12,-1/22
9307607,-120,-10/11
9307613,174,29/31
9307793,-30,-1/11
9307943,-132,-11/14
9307961,70,35/53
9308049,-68,-17/27
9308069,28,7/17
9308117,232,29/41
9308397,-118,-59/221
9308559,-88,-22/59
9308633,44,11/48
9308751,-2,-1/117
9308867,-112,-14/15
9308871,16,2/3
9308891,2,1/21
9308913,76,19/30
9309011,-26,-13/85
9309083,12,1/13
9309167,46,23/107
9309297,-116,-29/36
9309311,-2,-1/13
9309323,256,32/35
9309591,-130,-65/203
9309729,-30,-5/41
9309837,-96,-4/5
9309849,6,1/5
9309867,-4,-1/8
9309881,26,13/27
9309921,-28,-7/13
9309933,104,13/16
9310049,46,23/139
9310211,-56,-14/67
9310317,50,25/131
9310473,-130,-5/7
9310499,-16,-4/9
9310509,50,5/7
9310569,144,6/11
9310773,62,31/235
9311039,-226,-113/153
9311079,4,1/21
9311123,-14,-7/37
9311153,-26,-13/17
9311157,16,2/3
9311177,122,61/81
9311319,10,5/147
9311471,-134,-67/85
9311489,12,1/4
9311519,-8,-2/13
9311541,260,65/76
9311823,-192,-16/31
9311913,18,1/11
9312021,-76,-19/35
9312053,2,1/33
9312087,16,4/21
9312137,-20,-1/4
9312167,330,11/13
9312527,-308,-77/103
9312579,-38,-19/33
9312593,56,2/3
9312663,28,1/6
9312761,82,41/139
9312941,-170,-17/19
9312951,-4,-1/4
9312957,14,7/13
9312977,14,7/27
9313011,14,7/41
9313059,-30,-5/11
9313077,6,1/7
9313101,92,23/35
9313217,-110,-55/61
9313223,34,17/23
9313263,-32,-2/3
9313271,8,1/3
9313287,220,55/63
9313523,-226,-113/123
9313533,64,16/21
9313607,-64,-16/21
9313617,-4,-1/4
9313623,32,8/11
9313661,4,1/20
9313703,22,11/53
9313767,128,1/2
9313959,-160,-5/7
9313991,-26,-13/19
9313997,-2,-1/5
9314001,62,31/35
9314067,198,3/5
9314331,-258,-43/45
9314337,84,7/8
9314427,-30,-1/5
9314487,-18,-3/17
9314529,60,5/12
9314631,-66,-11/23
9314667,48,2/5
9314751,-72,-3/4
9314763,108,9/11
9314883,-106,-53/67
9314897,80,20/27
9314991,-22,-11/83
9315063,108,3/7
9315243,-124,-31/59
9315299,-38,-19/37
9315317,78,13/19
9315413,-62,-31/65
9315447,22,11/45
9315503,-32,-2/5
9315527,-20,-5/7
9315531,58,29/33
9315593,-44,-11/20
9315611,150,25/31
9315779,-146,-73/95
9315801,100,25/36
9315923,-104,-26/35
9315941,114,19/25
9316073,-104,-13/20
9316101,-2,-1/27
9316127,-2,-1/25
9316151,64,4/7
9316239,-76,-19/25
9316251,110,55/67
9316373,-116,-29/32
9316379,6,1/3
9316391,70,35/47
9316473,-52,-13/28
9316503,6,1/11
9316539,14,7/43
9316589,130,13/23
9316769,-72,-1/4
9316877,12,1/19
9316997,-98,-49/71
9317019,46,23/45
9317087,-26,-13/55
9317129,-30,-5/9
9317141,34,17/29
9317187,40,10/33
9317273,100,25/68
9317459,-102,-17/45
9317543,22,11/95
9317649,-26,-13/93
9317729,-58,-29/51
9317751,40,10/21
9317813,-58,-29/33
9317817,128,16/17
9317949,-84,-7/15
9317997,-28,-7/17
9318017,202,101/121
9318239,-198,-33/41
9318263,16,1/4
9318303,-26,-13/27
9318317,-4,-1/6
9318327,2,1/11
9318339,2,1/13
9318353,56,2/3
9318423,-64,-16/19
9318429,168,14/15
9318603,-90,-15/43
9318687,-82,-41/43
9318689,28,7/8
9318719,54,9/19
9318803,-50,-25/59
9318837,-22,-11/23
9318849,228,19/21
9319089,-220,-11/13
9319109,4,1/11
9319133,16,1/4
9319173,-32,-2/3
9319181,20,5/9
9319209,10,5/33
9319247,-16,-4/15
9319269,2,1/23
9319293,30,5/13
9319347,-10,-5/49
9319391,-32,-4/7
9319403,46,23/35
9319461,88,22/51
9319607,-14,-7/139
9319739,120,5/16
9319991,-204,-17/25
9320039,-6,-1/15
9320081,-32,-8/13
9320091,8,2/7
9320109,114,19/25
9320241,-36,-3/19
9320337,96,1/3
9320529,-64,-1/5
9320657,76,19/83
9320861,-108,-9/25
9320957,124,31/79
9321177,-154,-7/13
9321243,78,13/35
9321387,-84,-7/17
9321447,-54,-9/11
9321453,192,16/17
9321651,-156,-13/20
9321693,72,6/13
9321807,-100,-25/32
9321821,-2,-1/13
9321833,24,1/2
9321869,-14,-7/29
9321891,38,19/41
9321951,-10,-1/11
9322001,8,2/27
9322059,-20,-5/24
9322097,-28,-7/12
9322107,70,7/9
9322187,34,17/97
9322301,-48,-4/15
9322367,-20,-5/28
9322413,104,26/49
9322563,-132,-11/14
9322581,60,5/8
9322659,-60,-5/8
9322677,-16,-4/5
9322679,82,41/43
9322763,-74,-37/47
9322773,118,59/69
9322901,-82,-41/87
9322947,16,4/27
9323009,-20,-5/26
9323051,-12,-1/6
9323081,-12,-1/4
9323099,64,16/25
9323181,14,7/89
9323277,14,7/103
9323387,-74,-37/73
9323423,-18,-1/3
9323441,-2,-1/17
9323457,40,5/9
9323513,302,151/207
9323871,-350,-175/183
9323879,26,13/21
9323913,-8,-2/15
9323939,28,7/20
9323993,-50,-25/29
9323997,32,4/5
9324033,18,1/5
9324087,-24,-2/7
9324117,176,44/59
9324323,-92,-23/80
9324437,-54,-9/29
9324497,-30,-1/3
9324527,76,19/34
9324633,-62,-31/75
9324677,-38,-19/25
9324683,40,10/13
9324729,116,29/52
9324891,-40,-10/71
9325013,-112,-28/33
9325023,106,53/63
9325139,58,1/5
9325313,-170,-85/89
9325317,76,19/21
9325397,-44,-11/29
9325433,-2,-1/35
9325467,-20,-5/12
9325481,-8,-2/5
9325487,-2,-1/5
9325491,88,11/12
9325583,-88,-11/12
9325587,16,2/3
9325607,2,1/21
9325629,-10,-5/17
9325641,216,9/10
9325869,-186,-31/45
9325911,-6,-1/13
9325947,56,7/16
9326039,-8,-1/22
9326123,-74,-37/47
9326133,20,1/2
9326163,8,2/17
9326201,50,25/63
9326289,-76,-19/25
9326301,54,9/13
9326367,-34,-17/49
9326399,38,19/51
9326469,-68,-17/18
9326471,20,5/6
9326493,-16,-4/7
9326499,66,11/13
9326571,-66,-11/13
9326577,8,2/5
9326591,52,13/20
9326657,106,53/119
9326829,-124,-31/55
9326877,-4,-1/23
9326921,52,13/35
9327017,340,85/133
9327453,-410,-205/231
9327479,-14,-7/19
9327491,0,0
9327503,154,77/89
9327669,-62,-31/135
9327773,-58,-29/75
9327819,2,1/47
9327867,-16,-1/5
9327899,-2,-1/31
9327929,-6,-1/9
9327953,34,17/41
9328011,-32,-8/21
9328037,-20,-5/8
9328043,28,7/10
9328077,20,5/22
9328131,-16,-4/23
9328169,14,7/45
9328221,56,7/20
9328329,-78,-13/23
9328359,54,9/19
9328443,2,1/85
9328529,-28,-7/36
9328587,-4,-1/28
9328641,-28,-7/20
9328667,58,29/55
9328751,-68,-17/25
9328767,-2,-1/15
9328781,58,29/43
9328853,-42,-7/17
9328883,6,1/11
9328919,46,23/59
9329001,-32,-8/33
9329051,20,1/6
9329121,-38,-19/51
9329153,14,7/39
9329199,34,17/63
9329279,-28,-7/33
9329331,-44,-11/15
9329339,82,41/49
9329429,-50,-5/13
9329469,274,137/177
9329783,-296,-74/83
9329801,192,16/19
9330011,-152,-38/67
9330069,-40,-10/19
9330087,24,2/5
9330129,90,15/29
9330261,-82,-41/91
9330311,38,19/69
9330399,-44,-1/3
9330443,10,5/49
9330497,-50,-25/29
9330501,14,7/11
9330519,44,11/20
9330581,94,47/109
9330737,-36,-3/23
9330857,-54,-9/31
9330923,-20,-5/28
9330969,-22,-11/35
9330993,84,7/11
9331101,-82,-41/67
9331127,146,73/99
9331299,-64,-8/35
9331407,-78,-13/23
9331437,-18,-3/7
9331449,122,61/73
9331583,16,4/71
9331733,-132,-11/14
9331751,22,11/29
9331791,16,1/6
9331847,64,4/11
9331967,42,7/47
9332129,-30,-5/49
9332261,-44,-1/5
9332349,-56,-7/15
9332381,34,17/49
9332447,-20,-5/28
9332493,-40,-10/13
9332499,32,8/11
9332537,-14,-7/31
9332561,-14,-7/17
9332571,-2,-1/9
9332579,16,1/2
9332603,34,17/41
9332661,-10,-5/53
9332709,194,97/145
9332951,-226,-113/129
9332967,38,19/35
9333021,-48,-4/5
9333027,78,13/15
9333111,-76,-19/23
9333119,52,13/17
9333179,30,1/5
9333269,-12,-1/14
9333347,78,1/3
9333503,-110,-55/101
9333549,-14,-7/39
9333581,-22,-11/21
9333591,38,19/29
9333639,-46,-23/25
9333641,124,31/32
9333767,-90,-5/9
9333803,-6,-1/11
9333833,-14,-7/23
9333849,124,31/39
9333989,-112,-2/3
9334017,52,13/27
9334097,16,1/11
9334193,-66,-11/21
9334223,0,0
9334253,-6,-1/9
9334277,130,65/89
9334431,8,2/79
9334593,-124,-31/50
9334631,-22,-11/27
9334647,10,5/21
9334673,20,5/18
9334719,74,37/83
9334839,-70,-7/17
9334889,40,2/7
9334979,-50,-5/13
9335019,122,61/101
9335181,-160,-40/41
9335183,4,1/2
9335189,16,4/7
9335211,38,19/41
9335271,2,1/61
9335333,-38,-19/43
9335357,18,3/11
9335399,-24,-2/5
9335417,66,11/17
9335501,58,29/113
9335643,-98,-49/93
9335687,-34,-17/27
9335697,40,2/3
9335747,-44,-11/14
9335753,12,1/2
9335771,28,7/16
9335817,-14,-7/39
9335849,-22,-11/21
9335859,94,47/57
9335963,-76,-19/33
9335991,184,23/30
9336203,152,19/72
9336567,-308,-11/15
9336623,34,17/73
9336713,-24,-2/13
9336779,138,23/45
9336983,-138,-23/45
9337049,-2,-1/65
9337113,26,13/77
9337203,-42,-7/23
9337251,-22,-11/37
9337277,146,73/99
9337449,-130,-65/107
9337491,110,55/97
9337643,-28,-7/69
9337767,-98,-49/75
9337793,-22,-11/15
9337797,70,35/39
9337871,-4,-1/36
9337941,-38,-19/51
9337973,2,1/33
9338007,-8,-2/15
9338033,-10,-5/21
